Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10035_001,SE_A10035_002,SE_A10035_003,SE_A10035_004,SE_A10035_005,SE_A10035_006,SE_A10035_007,SE_A10035_008,SE_A10035_009,SE_A10035_010,PCT_SE_A10035_002,PCT_SE_A10035_003,PCT_SE_A10035_004,PCT_SE_A10035_005,PCT_SE_A10035_006,PCT_SE_A10035_007,PCT_SE_A10035_008,PCT_SE_A10035_009,PCT_SE_A10035_010
"06037216700","Census Tract 2167, Los Angeles County, California","ca","140","00",,,,"06","037",,,"216700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2167",,,,585,10,0,0,0,0,0,32,86,457,1.71,0,0,0,0,0,5.47,14.7,78.12
"06037216800","Census Tract 2168, Los Angeles County, California","ca","140","00",,,,"06","037",,,"216800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2168",,,,453,0,0,0,0,0,16,0,41,396,0,0,0,0,0,3.53,0,9.05,87.42
"06037216901","Census Tract 2169.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"216901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2169.01",,,,750,10,0,6,36,0,0,65,101,532,1.33,0,0.8,4.8,0,0,8.67,13.47,70.93
"06037216902","Census Tract 2169.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"216902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2169.02",,,,188,0,0,0,0,0,0,20,10,158,0,0,0,0,0,0,10.64,5.32,84.04
"06037217001","Census Tract 2170.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"217001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2170.01",,,,388,4,0,0,0,0,19,26,11,328,1.03,0,0,0,0,4.9,6.7,2.84,84.54
"06037217002","Census Tract 2170.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"217002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2170.02",,,,391,0,0,0,0,0,16,49,85,241,0,0,0,0,0,4.09,12.53,21.74,61.64
"06037217101","Census Tract 2171.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"217101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2171.01",,,,130,0,0,0,0,0,0,0,32,98,0,0,0,0,0,0,0,24.62,75.38
"06037217102","Census Tract 2171.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"217102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2171.02",,,,347,12,0,0,0,13,23,14,53,232,3.46,0,0,0,3.75,6.63,4.03,15.27,66.86
"06037217200","Census Tract 2172, Los Angeles County, California","ca","140","00",,,,"06","037",,,"217200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2172",,,,430,0,0,0,0,0,0,46,43,341,0,0,0,0,0,0,10.7,10,79.3
"06037218110","Census Tract 2181.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"218110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2181.10",,,,269,0,10,0,0,0,24,44,38,153,0,3.72,0,0,0,8.92,16.36,14.13,56.88
"06037218120","Census Tract 2181.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"218120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2181.20",,,,266,0,0,0,0,0,46,74,87,59,0,0,0,0,0,17.29,27.82,32.71,22.18
"06037218210","Census Tract 2182.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"218210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2182.10",,,,199,0,0,0,0,0,17,15,105,62,0,0,0,0,0,8.54,7.54,52.76,31.16
"06037218220","Census Tract 2182.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"218220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2182.20",,,,483,0,10,10,0,0,10,33,111,309,0,2.07,2.07,0,0,2.07,6.83,22.98,63.98
"06037218300","Census Tract 2183, Los Angeles County, California","ca","140","00",,,,"06","037",,,"218300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2183",,,,535,0,0,20,50,0,19,50,148,248,0,0,3.74,9.35,0,3.55,9.35,27.66,46.36
